"","nb.calls","intercall.dur","dom.freq","whine.dur","pulse.rate","nb.pulse","id","year","time","date","male.rep","color","temp","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","hour","minutes","circ.time","cos","sin","plants","sp.on.pl","aggregation","molt","age"
"EbLentWI_homo-FST_A_HF_01R_200729_1109am.txt",7,2.35735,313.621632923368,0.656389000000019,23.2898008139778,4,"_200729_1109a",2020,"11:09:00 AM","29/07/20",1,"R",24.4,"A","FST","HF","homo","A FST 2020",6,"FST","symp",11,9,2.91906317396052,-0.975342320508513,0.220697435021501,"2020 homo HF FST A","HF","2020 HF FST A","2020-06-30",29
"EbLentWI_homo-FST_A_HF_01W_200806_1024am.txt",10,1.990095,328.395241917668,0.655442999999991,23.5842103711579,4,"_200806_1024a",2020,"10:24:00 AM","06/08/20",1,"W",25.6,"A","FST","HF","homo","A FST 2020",6,"FST","symp",10,24,2.72271363311115,-0.913545457642601,0.4067366430758,"2020 homo HF FST A","HF","2020 HF FST A","2020-06-30",37
"EbLentWI_homo-FST_A_HF_02R_200813_1203pm.txt",3,2.304497,314.14709064895,0.579429000000005,20.9448208694194,4,"_200813_1203p",2020,"12:03:00 PM","13/08/20",2,"R",25.5,"A","FST","HF","homo","A FST 2020",6,"FST","symp",12,3,3.15468262297975,-0.999914327574007,-0.0130895955713444,"2020 homo HF FST A","HF","2020 HF FST A","2020-06-30",44
"EbLentWI_homo-FST_A_HF_02W_200806_1033am.txt",8,1.942545,318.516421291065,0.596997000000002,22.7351525244545,4,"_200806_1033a",2020,"10:33:00 AM","06/08/20",2,"W",25.8,"A","FST","HF","homo","A FST 2020",6,"FST","symp",10,33,2.76198354128103,-0.928809552871924,0.370557437509836,"2020 homo HF FST A","HF","2020 HF FST A","2020-06-30",37
"EbLentWI_homo-FST_A_LF_01W_200721_1121am.txt",5,2.831663,178.143742206199,0.827387999999999,17.1410744711122,5,"_200721_1121a",2020,"11:21:00 AM","21/07/20",1,"W",22.3,"A","FST","LF","homo","A FST 2020",6,"FST","symp",11,21,2.97142305152035,-0.985556059058078,0.169349503849025,"2020 homo LF FST A","LF","2020 LF FST A","2020-06-30",21
"EbLentWI_homo-FST_B_HF_01R_200717_0126pm.txt",3,4.16189,289.277449215668,0.72799599999999,18.0634206699726,4,"_200717_0126p",2020," 1:26:00 PM","17/07/20",1,"R",23.9,"B","FST","HF","homo","B FST 2020",6,"FST","symp",13,26,3.51683844276857,-0.930417567982024,-0.366501226724297,"2020 homo HF FST B","HF","2020 HF FST B","2020-07-02",15
"EbLentWI_homo-FST_B_HF_01W_200727_0120pm.txt",4,3.980616,284.774079230495,0.780208000000002,16.3540989504758,4,"_200727_0120p",2020," 1:20:00 PM","27/07/20",1,"W",21.7,"B","FST","HF","homo","B FST 2020",6,"FST","symp",13,20,3.49065850398866,-0.939692620785908,-0.342020143325669,"2020 homo HF FST B","HF","2020 HF FST B","2020-07-02",25
"EbLentWI_homo-FST_B_HF_02W_200815_1120am.txt",3,2.825594,317.684433462796,0.553519999999992,22.484036334203,4,"_200815_1120a",2020,"11:20:00 AM","15/08/20",2,"W",26.5,"B","FST","HF","homo","B FST 2020",6,"FST","symp",11,20,2.96705972839036,-0.984807753012208,0.17364817766693,"2020 homo HF FST B","HF","2020 HF FST B","2020-07-02",44
"EbLentWI_homo-PVN_A_LF_01R_200729_0139pm.txt",4,2.60758300000003,174.859141247346,0.95088800000002,19.2751576948852,4,"_200729_0139p",2020," 1:39:00 PM","29/07/20",1,"R",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",13,39,3.57356164345839,-0.908143173825081,-0.418659737537428,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
"EbLentWI_homo-PVN_A_LF_01W_200729_0123pm.txt",4,3.32982200000001,168.880882684083,0.800698000000011,15.5404019369557,5,"_200729_0123p",2020," 1:23:00 PM","29/07/20",1,"W",24.8,"A","PVN","LF","homo","A PVN 2020",6,"PVN","allo",13,23,3.50374847337862,-0.935135209686012,-0.354291037997715,"2020 homo LF PVN A","LF","2020 LF PVN A","2020-07-08",21
